timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,ozone
1509966000,Mostly Cloudy,partly-cloudy-day,0,0,47.57,43.44,39.82,0.74,1025.44,8.88,0,0.61,7.05,
1509969600,Mostly Cloudy,partly-cloudy-day,0,0,48.29,44.16,38.23,0.68,1025.19,9.33,11,0.62,7.24,
1509973200,Mostly Cloudy,partly-cloudy-day,0,0,48.73,45.12,38.04,0.66,1025.09,8.22,5,0.73,7.49,
1509976800,Mostly Cloudy,partly-cloudy-day,0,0,48.25,44.58,36.81,0.64,1025.19,8.11,14,0.72,7.54,
1509980400,Mostly Cloudy,partly-cloudy-day,0,0,47.85,44.38,36.71,0.65,1025.34,7.48,11,0.9,8.49,
1509984000,Mostly Cloudy,partly-cloudy-day,0,0,44.86,42.26,36.62,0.73,1025.48,4.89,4,0.91,8.13,
1509987600,Mostly Cloudy,partly-cloudy-night,0,0,42.56,40.86,36.41,0.79,1025.76,3.38,350,0.8,8.32,
1509991200,Mostly Cloudy,partly-cloudy-night,0,0,41.2,39,35.71,0.81,1026.13,3.69,355,0.9,9.22,
1509994800,Mostly Cloudy,partly-cloudy-night,0,0,39.65,37.53,35.36,0.84,1026.52,3.4,0,0.68,9.56,
1509998400,Mostly Cloudy,partly-cloudy-night,0,0,37.96,37.96,34.64,0.88,1026.6,2.27,345,0.74,9.17,
1510002000,Mostly Cloudy,partly-cloudy-night,0,0,36.44,36.44,33.56,0.89,1026.76,2.2,347,0.7,9,
1510005600,Mostly Cloudy,partly-cloudy-night,0,0,34.95,34.95,32.54,0.91,1026.44,2.67,347,0.65,7.71,
1510009200,Clear,clear-night,0,0,33.49,30.55,31.45,0.92,1026.2,3.34,337,0,7.65,
1510012800,Clear,clear-night,0,0,32.97,32.97,31.15,0.93,1025.71,2.29,358,0,7.21,
1510016400,Clear,clear-night,0.0006,0.06,0.004,snow,32.52,32.52,30.85,0.93,1025.4,2.93,347,0,5.78,
1510020000,Clear,clear-night,0,0,31.69,31.69,30.15,0.94,1025.14,2.13,350,0.1,5.83,
1510023600,Clear,clear-night,0,0,30.74,30.74,29.79,0.96,1024.81,1.98,22,0,5.08,
1510027200,Clear,clear-night,0,0,30.15,30.15,29.13,0.96,1024.44,2.59,12,0,4.39,
1510030800,Clear,clear-night,0,0,29.98,29.98,28.78,0.95,1024.13,2.22,343,0,4.57,
1510034400,Clear,clear-night,0,0,29.5,29.5,28.65,0.97,1023.98,1.85,352,0.03,3.84,
1510038000,Clear,clear-day,0,0,29.76,29.76,28.65,0.96,1023.94,2.53,339,0.2,4.67,
1510041600,Clear,clear-day,0,0,33.17,33.17,31.7,0.94,1023.72,2.89,340,0.02,5.03,
1510045200,Clear,clear-day,0,0,36.89,34.69,35.01,0.93,1023.38,3.13,334,0.02,5.1,
